timestamp,humidity,temperature,soilMoisture,mq135,lamp,pump
07/25/2024 10:42:05,47.70%,40.50C*,45%,1136,0,0
07/25/2024 10:57:06,47.10%,41.00C*,49%,1006,0,0
07/25/2024 11:12:07,46.20%,41.30C*,52%,975,0,0
07/25/2024 11:27:10,46.30%,41.30C*,54%,962,0,0
07/25/2024 11:42:12,46.30%,41.30C*,55%,957,0,0
07/25/2024 11:57:14,46.10%,41.50C*,55%,945,0,0
07/25/2024 12:12:16,46.60%,41.20C*,55%,937,0,0
07/25/2024 12:27:18,46.70%,41.00C*,56%,938,0,0
07/25/2024 12:42:18,46.20%,40.80C*,50%,886,0,0
07/25/2024 12:57:19,62.90%,39.90C*,51%,848,0,0
07/25/2024 13:12:20,63.10%,39.90C*,51%,868,0,0
07/25/2024 13:27:24,63.00%,39.90C*,51%,874,0,0
07/25/2024 13:42:26,63.10%,40.10C*,51%,864,0,0
07/25/2024 13:57:27,63.20%,40.20C*,50%,839,0,0
07/25/2024 14:12:28,62.50%,40.20C*,50%,842,0,0
07/25/2024 14:27:28,62.30%,40.10C*,49%,844,0,0
07/25/2024 14:42:30,62.80%,40.10C*,49%,834,0,0
07/25/2024 14:57:32,63.30%,40.10C*,50%,822,0,0
07/25/2024 15:12:33,63.40%,40.00C*,50%,817,0,0
07/25/2024 15:27:34,63.60%,40.00C*,50%,836,0,0
